seq,alpha,k,entropy
sequence5.txt,0.1,25,5.342286806596025
sequence5.txt,1.0,25,5.998763629451151
sequence5.txt,0.001,26,4.83271260579594
sequence5.txt,0.01,26,4.940643062697471
sequence5.txt,0.1,26,5.4022746057169115
sequence5.txt,1.0,26,6.034467885766939
sequence5.txt,0.001,27,4.899447733798983
sequence5.txt,0.01,27,5.007010324618071
sequence5.txt,0.1,27,5.457400514470647
sequence5.txt,1.0,27,6.066425504381452
sequence5.txt,0.001,28,4.961791368318682
sequence5.txt,0.01,28,5.068891031337556
sequence5.txt,0.1,28,5.508310053190032
sequence5.txt,1.0,28,6.095589974474782
sequence5.txt,0.001,29,5.019741034203508
sequence5.txt,0.01,29,5.126092792269725
sequence5.txt,0.1,29,5.554936685452318
sequence5.txt,1.0,29,6.121954489099721
sequence5.txt,0.001,30,5.073024676932047
sequence5.txt,0.01,30,5.178665444627649
sequence5.txt,0.1,30,5.5974696722827115
sequence5.txt,1.0,30,6.1456807820208565
sequence5.txt,0.001,31,5.12315350521643
sequence5.txt,0.01,31,5.227741408325604
sequence5.txt,0.1,31,5.636620687048279
sequence5.txt,1.0,31,6.167060930697858
sequence5.txt,0.001,32,5.17009142915502
sequence5.txt,0.01,32,5.273633034335257
sequence5.txt,0.1,32,5.673009988655503
sequence5.txt,1.0,32,6.186672349068793
sequence5.txt,0.001,33,5.213664962847818
sequence5.txt,0.01,33,5.315893189180111
sequence5.txt,0.1,33,5.705949779699675
sequence5.txt,1.0,33,6.203724463791351
sequence5.txt,0.001,34,5.254856710828712
sequence5.txt,0.01,34,5.35591146310538
sequence5.txt,0.1,34,5.7369331315093985
sequence5.txt,1.0,34,6.219474912353614
sequence5.txt,0.001,35,5.293211345146591
sequence5.txt,0.01,35,5.393046017532304
sequence5.txt,0.1,35,5.765333516022153
sequence5.txt,1.0,35,6.23361547885013
